dataset,model,method,detector,is_viyog,T3
CIFAR-100,effnet_lite0,MaxLogit,MaxLogit,False,0.8367
CIFAR-100,effnet_lite0,Energy,Energy,False,0.8465
CIFAR-100,effnet_lite0,Entropy,Entropy,False,0.8532
CIFAR-100,effnet_lite0,GEN,GEN,False,0.8893
CIFAR-100,effnet_lite0,KLMatching,KL-Matching,False,0.8605
CIFAR-100,fastvit_sa12,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5759
CIFAR-100,fastvit_sa12,ViyogD_tv_dorm,Viyog-D (TV),True,0.6524
CIFAR-100,fastvit_sa12,ViyogD_hf_dorm,Viyog-HF,True,0.6461
CIFAR-100,fastvit_sa12,MSP,MSP,False,0.542
CIFAR-100,fastvit_sa12,MaxLogit,MaxLogit,False,0.5094
CIFAR-100,fastvit_sa12,Energy,Energy,False,0.5149
CIFAR-100,fastvit_sa12,Entropy,Entropy,False,0.5841
CIFAR-100,fastvit_sa12,GEN,GEN,False,0.6376
CIFAR-100,fastvit_sa12,KLMatching,KL-Matching,False,0.5844
CIFAR-100,mobilenetv3_l,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5263
CIFAR-100,mobilenetv3_l,ViyogD_tv_dorm,Viyog-D (TV),True,0.8633
CIFAR-100,mobilenetv3_l,ViyogD_hf_dorm,Viyog-HF,True,0.7471
CIFAR-100,mobilenetv3_l,MSP,MSP,False,0.7349
CIFAR-100,mobilenetv3_l,MaxLogit,MaxLogit,False,0.7383
CIFAR-100,mobilenetv3_l,Energy,Energy,False,0.7382
CIFAR-100,mobilenetv3_l,Entropy,Entropy,False,0.7356
CIFAR-100,mobilenetv3_l,GEN,GEN,False,0.7489
CIFAR-100,mobilenetv3_l,KLMatching,KL-Matching,False,0.7378
CIFAR-100,mobilenetv4_m,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5544
CIFAR-100,mobilenetv4_m,ViyogD_tv_dorm,Viyog-D (TV),True,0.9523
CIFAR-100,mobilenetv4_m,ViyogD_hf_dorm,Viyog-HF,True,0.9189
CIFAR-100,mobilenetv4_m,MSP,MSP,False,0.7452
CIFAR-100,mobilenetv4_m,MaxLogit,MaxLogit,False,0.7281
CIFAR-100,mobilenetv4_m,Energy,Energy,False,0.6831
CIFAR-100,mobilenetv4_m,Entropy,Entropy,False,0.7134
CIFAR-100,mobilenetv4_m,GEN,GEN,False,0.6849
CIFAR-100,mobilenetv4_m,KLMatching,KL-Matching,False,0.7112
CIFAR-100,mobileone_s1,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.8551
CIFAR-100,mobileone_s1,ViyogD_tv_dorm,Viyog-D (TV),True,0.8436
CIFAR-100,mobileone_s1,ViyogD_hf_dorm,Viyog-HF,True,0.8414
CIFAR-100,mobileone_s1,MSP,MSP,False,0.8696
CIFAR-100,mobileone_s1,MaxLogit,MaxLogit,False,0.8677
CIFAR-100,mobileone_s1,Energy,Energy,False,0.8243
CIFAR-100,mobileone_s1,Entropy,Entropy,False,0.8697
CIFAR-100,mobileone_s1,GEN,GEN,False,0.8697
CIFAR-100,mobileone_s1,KLMatching,KL-Matching,False,0.8697
CIFAR-100,resnet101,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5402
CIFAR-100,resnet101,ViyogD_tv_dorm,Viyog-D (TV),True,0.8395
CIFAR-100,resnet101,ViyogD_hf_dorm,Viyog-HF,True,0.7168
CIFAR-100,resnet101,MSP,MSP,False,0.8087
CIFAR-100,resnet101,MaxLogit,MaxLogit,False,0.8226
CIFAR-100,resnet101,Energy,Energy,False,0.8225
CIFAR-100,resnet101,Entropy,Entropy,False,0.8117
CIFAR-100,resnet101,GEN,GEN,False,0.8108
CIFAR-100,resnet101,KLMatching,KL-Matching,False,0.8073
CIFAR-100,resnet152,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5205
CIFAR-100,resnet152,ViyogD_tv_dorm,Viyog-D (TV),True,0.8294
CIFAR-100,resnet152,ViyogD_hf_dorm,Viyog-HF,True,0.7151
CIFAR-100,resnet152,MSP,MSP,False,0.7819
CIFAR-100,resnet152,MaxLogit,MaxLogit,False,0.7784
CIFAR-100,resnet152,Energy,Energy,False,0.776
CIFAR-100,resnet152,Entropy,Entropy,False,0.783
CIFAR-100,resnet152,GEN,GEN,False,0.7797
CIFAR-100,resnet152,KLMatching,KL-Matching,False,0.7802
CIFAR-100,resnet18,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5648
CIFAR-100,resnet18,ViyogD_tv_dorm,Viyog-D (TV),True,0.71
CIFAR-100,resnet18,ViyogD_hf_dorm,Viyog-HF,True,0.6959
CIFAR-100,resnet18,MSP,MSP,False,0.855
CIFAR-100,resnet18,MaxLogit,MaxLogit,False,0.8642
CIFAR-100,resnet18,Energy,Energy,False,0.8703
CIFAR-100,resnet18,Entropy,Entropy,False,0.8529
CIFAR-100,resnet18,GEN,GEN,False,0.8485
CIFAR-100,resnet18,KLMatching,KL-Matching,False,0.8529
CIFAR-100,resnet34,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5315
CIFAR-100,resnet34,ViyogD_tv_dorm,Viyog-D (TV),True,0.759
CIFAR-100,resnet34,ViyogD_hf_dorm,Viyog-HF,True,0.6441
CIFAR-100,resnet34,MSP,MSP,False,0.8464
CIFAR-100,resnet34,MaxLogit,MaxLogit,False,0.8286
CIFAR-100,resnet34,Energy,Energy,False,0.8194
CIFAR-100,resnet34,Entropy,Entropy,False,0.8521
CIFAR-100,resnet34,GEN,GEN,False,0.8573
CIFAR-100,resnet34,KLMatching,KL-Matching,False,0.8521
CIFAR-100,resnet50,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5425
CIFAR-100,resnet50,ViyogD_tv_dorm,Viyog-D (TV),True,0.883
CIFAR-100,resnet50,ViyogD_hf_dorm,Viyog-HF,True,0.7968
CIFAR-100,resnet50,MSP,MSP,False,0.8548
CIFAR-100,resnet50,MaxLogit,MaxLogit,False,0.8388
CIFAR-100,resnet50,Energy,Energy,False,0.8275
CIFAR-100,resnet50,Entropy,Entropy,False,0.8604
CIFAR-100,resnet50,GEN,GEN,False,0.8639
CIFAR-100,resnet50,KLMatching,KL-Matching,False,0.8601
CIFAR-100,swin_tiny,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5108
CIFAR-100,swin_tiny,ViyogD_tv_dorm,Viyog-D (TV),True,0.8928
CIFAR-100,swin_tiny,ViyogD_hf_dorm,Viyog-HF,True,0.8142
CIFAR-100,swin_tiny,MSP,MSP,False,0.8696
CIFAR-100,swin_tiny,MaxLogit,MaxLogit,False,0.9025
CIFAR-100,swin_tiny,Energy,Energy,False,0.905
CIFAR-100,swin_tiny,Entropy,Entropy,False,0.8823
CIFAR-100,swin_tiny,GEN,GEN,False,0.903
CIFAR-100,swin_tiny,KLMatching,KL-Matching,False,0.8468
CIFAR-100,vit_base,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5925
CIFAR-100,vit_base,ViyogD_tv_dorm,Viyog-D (TV),True,0.6812
CIFAR-100,vit_base,ViyogD_hf_dorm,Viyog-HF,True,0.6965
CIFAR-100,vit_base,MSP,MSP,False,0.9038
CIFAR-100,vit_base,MaxLogit,MaxLogit,False,0.9202
CIFAR-100,vit_base,Energy,Energy,False,0.9205
CIFAR-100,vit_base,Entropy,Entropy,False,0.9107
CIFAR-100,vit_base,GEN,GEN,False,0.9195
CIFAR-100,vit_base,KLMatching,KL-Matching,False,0.8941
CIFAR-10,resnet50,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.546
CIFAR-10,resnet50,ViyogD_tv_dorm,Viyog-D (TV),True,0.8784
CIFAR-10,resnet50,ViyogD_hf_dorm,Viyog-HF,True,0.7897
CIFAR-10,resnet50,MSP,MSP,False,0.8779
